ReleasePackageName,ReleasePackageVersion,ReleaseNumber,ReleaseARCH,ReleaseSizeBytes,ReleaseSourceRPM
libpciaccess,0.16,16.el10,x86_64,45627,libpciaccess-0.16-16.el10.src.rpm
libglvnd-egl,1.7.0,7.el10,x86_64,70404,libglvnd-1.7.0-7.el10.src.rpm
libglvnd-gles,1.7.0,7.el10,x86_64,108666,libglvnd-1.7.0-7.el10.src.rpm
libtraceevent,1.8.4,3.el10,x86_64,1521051,libtraceevent-1.8.4-3.el10.src.rpm
npth,1.6,21.el10,x86_64,50739,npth-1.6-21.el10.src.rpm
slang,2.3.3,8.el10,x86_64,1409122,slang-2.3.3-8.el10.src.rpm
dotconf,1.3,37.el10,x86_64,59596,dotconf-1.3-37.el10.src.rpm
gutenprint-libs,5.3.4,18.el10,x86_64,419938,gutenprint-5.3.4-18.el10.src.rpm
jbig2dec-libs,0.20,7.el10,x86_64,168984,jbig2dec-0.20-7.el10.src.rpm
mpg123-libs,1.32.9,1.el10,x86_64,816088,mpg123-1.32.9-1.el10.src.rpm
speex,1.2.0,19.el10,x86_64,119372,speex-1.2.0-19.el10.src.rpm
newt,0.52.24,5.el10,x86_64,223080,newt-0.52.24-5.el10.src.rpm
inih-cpp,58,3.el10,x86_64,28711,inih-58-3.el10.src.rpm
libgexiv2,0.14.3,3.el10,x86_64,293442,libgexiv2-0.14.3-3.el10.src.rpm
dbus-daemon,1.14.10,5.el10,x86_64,566350,dbus-1.14.10-5.el10.src.rpm
pinentry-gnome3,1.3.1,1.el10,x86_64,91115,pinentry-1.3.1-1.el10.src.rpm
dbus,1.14.10,5.el10,x86_64,0,dbus-1.14.10-5.el10.src.rpm
